Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #A           #     #
#     #            #     #
#     #            #     #
#     #     S      #     #
#     #            #     #
#     #       B    #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 1.  3.]
 [ 8.  8.]
 [ 6.  7.]
 [ 1.  3.]
 [ 7.  8.]
 [ 6.  8.]
 [ 1.  3.]
 [ 6.  8.]
 [ 6.  9.]
 [ 1.  3.]
 [ 5.  8.]
 [ 6. 10.]
 [ 1.  3.]
 [ 4.  8.]
 [ 6. 11.]
 [ 1.  3.]
 [ 3.  8.]
 [ 6. 12.]
 [ 1.  3.]
 [ 2.  8.]
 [ 6. 12.]
 [ 1.  3.]
 [ 1.  8.]
 [ 6. 12.]
 [ 1.  3.]
 [ 1.  8.]]
