Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     # A          #     #
#     #            #     #
#     #            #     #
#     #     S      #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #    B       #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 2.  3.]
 [ 5. 11.]
 [ 6.  7.]
 [ 1.  3.]
 [ 4. 11.]
 [ 6.  8.]
 [ 1.  3.]
 [ 3. 11.]
 [ 6.  9.]
 [ 1.  3.]
 [ 2. 11.]
 [ 6. 10.]
 [ 1.  3.]
 [ 1. 11.]
 [ 6. 11.]
 [ 1.  3.]
 [ 1. 11.]
 [ 6. 12.]
 [ 1.  3.]
 [ 1. 11.]
 [ 6. 12.]
 [ 1.  3.]
 [ 1. 11.]]
