Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #      A   B #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     S      #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 7.  1.]
 [11.  1.]
 [ 6.  5.]
 [ 6.  1.]
 [12.  1.]
 [ 6.  4.]
 [ 5.  1.]
 [12.  1.]
 [ 6.  3.]
 [ 4.  1.]
 [12.  1.]
 [ 6.  2.]
 [ 3.  1.]
 [12.  1.]
 [ 6.  1.]
 [ 2.  1.]
 [12.  1.]
 [ 6.  1.]
 [ 1.  1.]
 [12.  1.]
 [ 6.  1.]
 [ 1.  1.]
 [12.  1.]]
