Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     S      #     #
#     #            #     #
#     #            #     #
#     #B           #     #
#     #A           #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 1. 10.]
 [ 1.  9.]
 [ 6.  5.]
 [ 2. 10.]
 [ 1.  9.]
 [ 6.  4.]
 [ 3. 10.]
 [ 1.  9.]
 [ 6.  3.]
 [ 4. 10.]
 [ 1.  9.]
 [ 6.  2.]
 [ 5. 10.]
 [ 1.  9.]
 [ 6.  1.]
 [ 6. 10.]
 [ 1.  9.]
 [ 6.  1.]
 [ 7. 10.]
 [ 1.  9.]
 [ 6.  1.]
 [ 8. 10.]
 [ 1.  9.]
 [ 6.  1.]
 [ 9. 10.]
 [ 1.  9.]
 [ 6.  1.]
 [10. 10.]
 [ 1.  9.]
 [ 6.  1.]
 [11. 10.]
 [ 1.  9.]]
