Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #     B    A #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     S      #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [11.  1.]
 [ 6.  1.]
 [ 6.  5.]
 [12.  1.]
 [ 5.  1.]
 [ 6.  4.]
 [12.  1.]
 [ 4.  1.]
 [ 6.  3.]
 [12.  1.]
 [ 3.  1.]
 [ 6.  2.]
 [12.  1.]
 [ 2.  1.]
 [ 6.  1.]
 [12.  1.]
 [ 1.  1.]
 [ 6.  1.]
 [12.  1.]
 [ 1.  1.]]
