trial_id,mode,relpath_txt,n_agents,seq_len_T,xy_json,cell_json
3_24_1,intermediate_case1,intermediate_case1/3_24_1.txt,3,11,"[[12, 12], [11, 5], [8, 2], [11, 11], [11, 5], [9, 3], [10, 11], [11, 4], [10, 2], [10, 12], [12, 5], [11, 2], [9, 12], [11, 6], [11, 3], [9, 13], [11, 7], [11, 4], [10, 13], [12, 8], [12, 5], [11, 14], [13, 8], [13, 4], [12, 14], [14, 9], [13, 5], [11, 15], [14, 10], [14, 6], [11, 14], [13, 9], [13, 6]]","[275, 106, 31, 250, 106, 56, 249, 82, 33, 273, 107, 34, 272, 130, 58, 296, 154, 82, 297, 179, 107, 322, 180, 84, 323, 205, 108, 346, 229, 133, 322, 204, 132]"
3_24_10,intermediate_case1,intermediate_case1/3_24_10.txt,3,11,"[[6, 6], [7, 14], [10, 12], [7, 5], [7, 13], [11, 12], [8, 6], [8, 13], [11, 13], [9, 5], [8, 12], [12, 12], [9, 6], [7, 13], [13, 12], [8, 5], [7, 12], [12, 11], [8, 5], [7, 13], [12, 10], [9, 4], [7, 12], [13, 10], [10, 5], [8, 13], [14, 11], [9, 6], [7, 13], [13, 12], [8, 5], [6, 12], [12, 12]]","[125, 318, 273, 102, 294, 274, 127, 295, 298, 104, 271, 275, 128, 294, 276, 103, 270, 251, 103, 294, 227, 80, 270, 228, 105, 295, 253, 128, 294, 276, 103, 269, 275]"
3_24_2,intermediate_case1,intermediate_case1/3_24_2.txt,3,11,"[[2, 6], [12, 12], [18, 16], [3, 6], [11, 13], [18, 17], [2, 7], [12, 13], [18, 18], [1, 6], [13, 13], [18, 17], [1, 5], [13, 12], [18, 16], [2, 5], [13, 13], [19, 17], [3, 6], [12, 14], [19, 18], [4, 7], [11, 14], [19, 19], [5, 6], [11, 15], [20, 19], [6, 6], [11, 14], [21, 18], [7, 6], [11, 15], [22, 19]]","[121, 275, 377, 122, 298, 401, 145, 299, 425, 120, 300, 401, 96, 276, 377, 97, 300, 402, 122, 323, 426, 147, 322, 450, 124, 346, 451, 125, 322, 428, 126, 346, 453]"
3_24_3,intermediate_case1,intermediate_case1/3_24_3.txt,3,11,"[[15, 5], [14, 10], [6, 6], [16, 6], [13, 10], [6, 7], [16, 7], [13, 11], [6, 8], [16, 6], [14, 12], [7, 8], [17, 5], [13, 11], [7, 7], [18, 5], [13, 12], [8, 8], [18, 4], [12, 11], [8, 7], [17, 5], [11, 10], [7, 7], [16, 4], [10, 9], [6, 6], [15, 5], [9, 9], [5, 7], [14, 4], [10, 10], [5, 7]]","[110, 229, 125, 135, 228, 149, 159, 252, 173, 135, 277, 174, 112, 252, 150, 113, 276, 175, 89, 251, 151, 112, 226, 150, 87, 201, 125, 110, 200, 148, 85, 225, 148]"
3_24_4,intermediate_case1,intermediate_case1/3_24_4.txt,3,11,"[[6, 6], [5, 12], [3, 4], [5, 7], [4, 13], [3, 5], [6, 8], [5, 14], [4, 5], [5, 9], [4, 15], [3, 5], [6, 9], [5, 16], [4, 6], [7, 9], [6, 17], [5, 7], [7, 10], [7, 17], [6, 6], [6, 10], [6, 18], [5, 7], [7, 10], [7, 18], [6, 8], [6, 11], [6, 18], [5, 7], [7, 12], [7, 18], [6, 8]]","[125, 268, 74, 148, 291, 98, 173, 316, 99, 196, 339, 98, 197, 364, 123, 198, 389, 148, 222, 390, 125, 221, 413, 148, 222, 414, 173, 245, 413, 148, 270, 414, 173]"
3_24_5,intermediate_case1,intermediate_case1/3_24_5.txt,3,11,"[[12, 9], [6, 6], [10, 15], [11, 10], [7, 6], [10, 16], [12, 9], [7, 7], [11, 16], [13, 9], [8, 6], [12, 15], [14, 8], [7, 7], [12, 15], [15, 9], [8, 6], [13, 15], [15, 10], [9, 6], [14, 16], [16, 9], [8, 5], [14, 15], [15, 9], [9, 5], [14, 15], [16, 10], [8, 5], [14, 16], [17, 11], [9, 4], [15, 16]]","[203, 125, 345, 226, 126, 369, 203, 150, 370, 204, 127, 347, 181, 150, 347, 206, 127, 348, 230, 128, 373, 207, 103, 349, 206, 104, 349, 231, 103, 373, 256, 80, 374]"
3_24_6,intermediate_case1,intermediate_case1/3_24_6.txt,3,11,"[[17, 5], [10, 24], [12, 12], [18, 6], [10, 24], [11, 12], [17, 7], [9, 24], [10, 13], [16, 8], [8, 24], [9, 14], [16, 9], [7, 24], [8, 15], [16, 8], [8, 24], [9, 16], [17, 8], [9, 23], [10, 15], [17, 9], [8, 24], [9, 15], [16, 8], [8, 23], [10, 14], [15, 8], [8, 22], [11, 13], [16, 7], [9, 22], [11, 14]]","[112, 561, 275, 137, 561, 274, 160, 560, 297, 183, 559, 320, 207, 558, 343, 183, 559, 368, 184, 536, 345, 208, 559, 344, 183, 535, 321, 182, 511, 298, 159, 512, 322]"
3_24_7,intermediate_case1,intermediate_case1/3_24_7.txt,3,11,"[[6, 6], [8, 9], [8, 1], [6, 6], [8, 8], [8, 2], [7, 6], [9, 7], [9, 3], [8, 6], [9, 6], [10, 4], [7, 7], [8, 7], [9, 5], [7, 6], [8, 6], [9, 4], [7, 5], [7, 5], [10, 4], [8, 6], [8, 6], [11, 4], [9, 5], [9, 5], [11, 3], [10, 4], [10, 4], [12, 2], [9, 3], [9, 4], [11, 1]]","[125, 199, 7, 125, 175, 31, 126, 152, 56, 127, 128, 81, 150, 151, 104, 126, 127, 80, 102, 102, 81, 127, 127, 82, 104, 104, 58, 81, 81, 35, 56, 80, 10]"
3_24_8,intermediate_case1,intermediate_case1/3_24_8.txt,3,11,"[[12, 3], [6, 6], [8, 13], [11, 2], [6, 5], [7, 12], [12, 2], [7, 4], [8, 13], [13, 2], [7, 3], [9, 14], [14, 2], [8, 2], [10, 15], [15, 2], [8, 3], [11, 14], [16, 3], [8, 4], [12, 15], [16, 4], [8, 5], [12, 16], [16, 5], [7, 6], [13, 16], [17, 5], [8, 5], [13, 17], [16, 5], [7, 4], [12, 18]]","[59, 125, 295, 34, 101, 270, 35, 78, 295, 36, 54, 320, 37, 31, 345, 38, 55, 322, 63, 79, 347, 87, 103, 371, 111, 126, 372, 112, 103, 396, 111, 78, 419]"
3_24_9,intermediate_case1,intermediate_case1/3_24_9.txt,3,11,"[[5, 24], [18, 21], [12, 12], [4, 24], [18, 22], [13, 13], [3, 23], [17, 21], [13, 12], [3, 22], [16, 20], [12, 12], [3, 23], [15, 21], [11, 13], [4, 24], [15, 22], [10, 14], [3, 24], [14, 23], [10, 15], [4, 23], [14, 23], [9, 16], [4, 24], [13, 24], [8, 17], [3, 24], [12, 24], [7, 16], [2, 23], [11, 24], [7, 17]]","[556, 497, 275, 555, 521, 300, 530, 496, 276, 506, 471, 275, 530, 494, 298, 555, 518, 321, 554, 541, 345, 531, 541, 368, 555, 564, 391, 554, 563, 366, 529, 562, 390]"
